Date, Open, High, Low, Close, Volume
05/12/21, 363.07, 368.13, 353.2712, 354.40, 3309798
05/11/21, 363.00, 368.63, 358.62, 359.92, 3734339
05/10/21, 373.50, 376.98, 368.50, 368.68, 3396306
05/07/21, 362.30, 371.65, 360.93, 370.89, 3378112
05/06/21, 359.77, 366.30, 356.5001, 365.97, 3048665
05/05/21, 352.00, 359.14, 348.55, 357.62, 2657577
05/04/21, 348.90, 351.78, 342.57, 349.84, 2831390
05/03/21, 350.34, 354.0599, 349.26, 350.16, 1871653
04/30/21, 351.12, 352.8197, 347.20, 348.45, 2101069
04/29/21, 350.55, 353.83, 347.48, 352.97, 2584423
04/28/21, 348.00, 350.12, 346.09, 348.11, 2140875
04/27/21, 344.00, 347.55, 343.66, 346.63, 2088604
04/26/21, 341.94, 345.90, 340.89, 343.52, 2171458
04/23/21, 331.25, 340.67, 330.72, 339.35, 2165370
04/22/21, 334.62, 336.97, 330.29, 330.85, 2165200
04/21/21, 330.00, 335.47, 327.56, 335.27, 2733251
04/20/21, 339.97, 340.47, 329.35, 331.88, 3662274
04/19/21, 340.00, 344.43, 336.60, 343.09, 3228160
04/16/21, 340.29, 343.74, 338.62, 342.31, 4231858
04/15/21, 338.90, 341.35, 334.54, 338.55, 4354775
04/14/21, 328.55, 344.4694, 326.15, 335.35, 9876753
04/13/21, 329.51, 330.05, 324.18, 327.68, 3575907
04/12/21, 332.67, 334.48, 329.94, 331.84, 2318780
04/09/21, 334.00, 334.90, 328.79, 330.81, 2347149
04/08/21, 324.29, 331.49, 322.9652, 331.14, 2402755
04/07/21, 327.70, 329.20, 323.35, 326.55, 2157335
04/06/21, 324.49, 328.54, 324.00, 327.06, 1801975
04/05/21, 332.85, 332.85, 323.05, 323.54, 3234998
04/01/21, 324.30, 329.66, 324.16, 327.64, 2658951
03/31/21, 330.23, 332.65, 325.44, 327.00, 2624540
03/30/21, 329.41, 335.75, 328.85, 332.01, 2717270
03/29/21, 320.35, 327.76, 317.72, 325.73, 4533245
03/26/21, 334.51, 335.45, 322.69, 327.39, 3082556
03/25/21, 327.35, 331.39, 321.92, 330.55, 2804721
03/24/21, 333.42, 336.94, 328.44, 328.65, 3332168
03/23/21, 337.62, 341.8885, 331.33, 331.77, 2457544
03/22/21, 341.06, 342.88, 336.00, 339.33, 2094548
03/19/21, 346.42, 347.24, 340.63, 344.20, 3512961
03/18/21, 350.75, 356.85, 346.99, 348.00, 3715240
03/17/21, 344.62, 347.03, 340.4001, 344.95, 2710906
03/16/21, 345.28, 346.90, 337.75, 341.71, 2332558
03/15/21, 349.44, 352.42, 342.00, 346.05, 2277831
03/12/21, 345.22, 350.00, 343.64, 348.81, 2436744
03/11/21, 338.66, 345.00, 336.46, 342.10, 2756559
03/10/21, 332.07, 342.40, 331.53, 342.02, 3153109
03/09/21, 328.62, 336.39, 325.57, 330.59, 3324825
03/08/21, 331.36, 337.59, 329.10, 334.19, 2997991
