Date, Open, High, Low, Close, Volume
05/12/21, 232.11, 233.5716, 227.57, 227.94, 3198197
05/11/21, 237.74, 237.80, 232.20, 233.86, 3028848
05/10/21, 235.10, 237.92, 235.10, 237.11, 2031468
05/07/21, 235.00, 235.72, 233.99, 234.84, 1406816
05/06/21, 235.54, 235.65, 233.17, 234.86, 1832704
05/05/21, 234.12, 235.35, 231.56, 235.04, 2069981
05/04/21, 234.63, 236.13, 233.24, 233.86, 2529912
05/03/21, 237.99, 238.18, 235.38, 235.56, 2458195
04/30/21, 234.00, 236.29, 233.87, 236.08, 2640589
04/29/21, 233.99, 235.80, 232.62, 235.21, 3146671
04/28/21, 235.20, 235.45, 232.26, 232.41, 2776969
04/27/21, 232.57, 235.63, 232.408, 234.98, 2623876
04/26/21, 234.78, 235.35, 231.91, 232.31, 2490387
04/23/21, 233.79, 235.24, 233.10, 234.58, 2137862
04/22/21, 232.83, 234.04, 231.94, 232.96, 1839671
04/21/21, 233.30, 233.86, 231.85, 232.26, 2065818
04/20/21, 231.24, 233.21, 231.08, 233.01, 1885666
04/19/21, 233.12, 233.295, 230.83, 231.81, 2254849
04/16/21, 233.65, 234.26, 232.31, 233.08, 2694295
04/15/21, 229.81, 231.3599, 229.20, 231.28, 2063107
04/14/21, 231.22, 231.29, 229.59, 230.31, 2129184
04/13/21, 230.44, 231.6626, 229.69, 231.32, 2571032
04/12/21, 231.48, 232.38, 230.49, 230.96, 2292729
04/09/21, 230.19, 231.61, 228.87, 231.48, 2729039
04/08/21, 232.61, 232.80, 229.20, 230.25, 2772285
04/07/21, 231.68, 232.81, 231.24, 232.61, 2551332
04/06/21, 229.71, 232.27, 228.72, 231.91, 3230903
04/05/21, 226.60, 229.50, 226.19, 228.85, 2866411
04/01/21, 224.67, 226.22, 223.276, 225.21, 2441261
03/31/21, 224.01, 226.49, 224.00, 224.14, 3564051
03/30/21, 226.13, 227.02, 224.22, 224.98, 2419008
03/29/21, 224.83, 227.875, 224.30, 227.35, 3621281
03/26/21, 224.20, 225.28, 222.42, 225.21, 3263234
03/25/21, 225.15, 225.32, 222.44, 224.20, 3249784
03/24/21, 225.32, 227.02, 224.04, 224.05, 2442483
03/23/21, 223.96, 226.40, 223.7513, 224.37, 2794029
03/22/21, 223.39, 226.91, 222.65, 225.07, 4220655
03/19/21, 222.76, 225.1828, 221.00, 222.44, 7719379
03/18/21, 223.68, 225.35, 221.41, 222.90, 3254846
03/17/21, 224.56, 224.90, 220.01, 224.11, 5240638
03/16/21, 219.58, 221.30, 217.16, 219.86, 3583426
03/15/21, 213.65, 220.55, 213.50, 220.46, 5483461
03/12/21, 212.04, 214.24, 211.42, 212.34, 2818192
03/11/21, 214.70, 215.23, 211.49, 211.57, 3618040
03/10/21, 208.72, 213.63, 208.24, 213.31, 3447188
03/09/21, 210.63, 211.20, 208.28, 208.55, 3646703
