Date, Open, High, Low, Close, Volume
05/12/21, 77.71, 78.53, 77.30, 78.00, 12766850
05/11/21, 77.83, 78.655, 77.15, 77.46, 11591970
05/10/21, 78.82, 79.18, 78.16, 78.17, 10438730
05/07/21, 78.01, 78.66, 77.885, 78.41, 11677010
05/06/21, 77.44, 77.855, 76.685, 77.78, 12282050
05/05/21, 76.10, 77.73, 75.74, 77.70, 16025933
05/04/21, 76.08, 76.4652, 75.525, 75.99, 9941398
05/03/21, 74.26, 76.02, 74.22, 75.98, 11968800
04/30/21, 73.58, 75.08, 73.48, 74.50, 17225330
04/29/21, 75.50, 75.74, 72.85, 73.68, 29201070
04/28/21, 77.61, 78.025, 76.86, 77.09, 11095790
04/27/21, 77.415, 77.94, 77.22, 77.36, 8679155
04/26/21, 77.86, 77.91, 77.30, 77.53, 7475389
04/23/21, 77.86, 78.20, 77.455, 77.88, 8205628
04/22/21, 79.00, 79.06, 77.56, 77.96, 12720330
04/21/21, 78.93, 79.49, 78.67, 79.23, 11276010
04/20/21, 77.68, 79.14, 77.68, 78.57, 10505110
04/19/21, 77.70, 77.79, 76.97, 77.66, 8145884
04/16/21, 77.25, 77.75, 76.815, 77.47, 11939690
04/15/21, 76.05, 77.33, 76.05, 76.66, 13875690
04/14/21, 76.30, 76.7856, 76.02, 76.40, 8030134
04/13/21, 75.97, 76.76, 75.87, 76.43, 8232240
04/12/21, 76.37, 76.60, 75.98, 76.22, 9513983
04/09/21, 75.51, 76.38, 75.425, 76.31, 7802854
04/08/21, 76.08, 76.40, 75.28, 75.49, 11457980
04/07/21, 76.08, 76.40, 75.715, 76.12, 8559722
04/06/21, 76.91, 76.94, 75.64, 75.79, 12781170
04/05/21, 77.52, 77.91, 76.7791, 77.00, 9378045
04/01/21, 77.16, 77.455, 76.815, 77.09, 8703565
03/31/21, 77.10, 77.685, 76.64, 77.09, 12975420
03/30/21, 78.00, 78.08, 76.79, 76.96, 9659673
03/29/21, 77.32, 78.545, 77.17, 78.30, 10924190
03/26/21, 76.15, 77.47, 75.8501, 77.39, 9913875
03/25/21, 76.42, 76.61, 75.31, 76.07, 10210790
03/24/21, 76.07, 76.68, 75.91, 76.24, 8717012
03/23/21, 77.09, 77.32, 76.03, 76.27, 11117560
03/22/21, 75.80, 78.00, 75.54, 77.51, 10832900
03/19/21, 77.25, 78.25, 76.0224, 77.51, 55558406
03/18/21, 77.26, 78.19, 77.21, 77.27, 13620350
03/17/21, 76.73, 77.50, 75.97, 77.30, 16730811
03/16/21, 76.15, 77.17, 76.14, 76.81, 14978940
