Date, Open, High, Low, Close, Volume
05/12/21, 157.66, 157.665, 153.66, 153.75, 1343273
05/11/21, 161.87, 161.91, 156.32, 156.69, 1180231
05/10/21, 161.59, 162.71, 161.09, 161.67, 1214508
05/07/21, 158.30, 161.10, 158.14, 160.81, 1057297
05/06/21, 160.00, 160.85, 159.16, 160.50, 1007611
05/05/21, 158.12, 159.68, 156.25, 159.29, 1453173
05/04/21, 156.39, 158.69, 155.97, 158.53, 1389921
05/03/21, 156.11, 158.08, 155.71, 156.59, 1094269
04/30/21, 155.53, 156.60, 153.90, 154.66, 952301
04/29/21, 154.76, 155.82, 154.32, 155.70, 876976
04/28/21, 155.73, 155.89, 152.85, 153.79, 1167505
04/27/21, 155.71, 156.44, 154.56, 155.20, 1339432
04/26/21, 157.84, 158.11, 155.43, 155.73, 1033247
04/23/21, 156.54, 158.34, 156.01, 157.84, 1079591
04/22/21, 156.71, 157.32, 154.31, 155.87, 1446042
04/21/21, 156.28, 157.755, 156.03, 157.38, 859634
04/20/21, 154.93, 157.40, 153.84, 155.73, 1840901
04/19/21, 156.58, 157.955, 153.57, 154.38, 1123191
04/16/21, 154.67, 156.46, 154.67, 155.95, 1315493
04/15/21, 155.53, 155.97, 153.78, 154.36, 1181349
04/14/21, 152.42, 156.35, 152.00, 155.43, 1850725
04/13/21, 151.21, 152.395, 150.535, 152.21, 1911328
04/12/21, 151.89, 152.2225, 151.27, 151.84, 1232201
04/09/21, 151.52, 152.55, 150.96, 151.65, 1377603
04/08/21, 150.79, 151.12, 149.53, 150.36, 1740665
04/07/21, 151.79, 152.45, 151.01, 152.29, 1694223
04/06/21, 152.03, 153.94, 151.45, 151.75, 1349217
04/05/21, 152.25, 152.43, 150.60, 152.03, 1260671
04/01/21, 150.25, 151.30, 149.46, 150.62, 1679994
03/31/21, 154.03, 154.13, 150.25, 150.40, 1705257
03/30/21, 154.57, 155.23, 153.30, 154.03, 923975
03/29/21, 151.81, 154.50, 150.77, 153.85, 1393715
03/26/21, 153.70, 153.86, 151.50, 153.64, 1122997
03/25/21, 149.88, 153.14, 147.9201, 152.78, 1402278
03/24/21, 147.69, 151.07, 147.46, 149.28, 1995977
03/23/21, 147.65, 149.41, 146.79, 147.00, 1616498
03/22/21, 149.15, 149.52, 146.76, 147.59, 1381763
03/19/21, 156.25, 156.25, 148.88, 149.30, 4099236
03/18/21, 159.80, 161.185, 156.35, 156.83, 2301610
03/17/21, 157.15, 158.18, 155.54, 157.92, 1393847
03/16/21, 156.87, 156.87, 154.41, 156.47, 1049072
03/15/21, 155.97, 157.50, 155.60, 157.34, 873687
03/12/21, 157.05, 159.035, 155.97, 157.27, 1313305
03/11/21, 153.88, 155.37, 152.17, 155.09, 2105447
03/10/21, 153.56, 156.43, 153.05, 155.38, 1491846
03/09/21, 154.42, 155.96, 152.78, 153.82, 1420074
03/08/21, 153.00, 157.25, 152.47, 155.75, 1374787
03/05/21, 150.45, 153.215, 149.22, 152.36, 1458697
03/04/21, 150.62, 152.02, 147.56, 149.02, 1107027
03/03/21, 149.11, 152.15, 148.7075, 150.71, 1226261
03/02/21, 149.84, 150.92, 149.02, 149.12, 1221397
03/01/21, 147.00, 151.01, 147.00, 150.39, 1186226
02/26/21, 148.09, 148.175, 145.175, 145.50, 1529137
02/25/21, 151.31, 151.48, 147.87, 148.00, 1259934
