Date, Open, High, Low, Close, Volume
05/12/21, 223.63, 225.00, 220.31, 220.63, 7721250
05/11/21, 223.74, 226.42, 222.0353, 225.48, 7633289
05/10/21, 231.60, 232.00, 225.16, 225.97, 9627426
05/07/21, 232.34, 233.22, 230.705, 232.12, 4529048
05/06/21, 229.63, 231.58, 228.66, 231.32, 6124286
05/05/21, 233.85, 233.85, 228.66, 229.21, 6523234
05/04/21, 231.60, 232.3926, 230.23, 232.03, 5884506
05/03/21, 234.05, 235.74, 231.385, 232.61, 8174440
04/30/21, 235.32, 235.93, 232.29, 233.56, 10260250
04/29/21, 235.23, 237.50, 233.15, 236.86, 7411371
04/28/21, 230.95, 236.27, 230.6748, 233.45, 10111450
04/27/21, 231.03, 231.16, 228.985, 229.91, 6642114
04/26/21, 230.77, 232.95, 229.52, 230.34, 5650039
04/23/21, 228.61, 231.82, 227.71, 230.00, 5345445
04/22/21, 227.30, 230.9348, 226.89, 227.57, 7302953
04/21/21, 223.31, 227.87, 222.865, 227.45, 9490560
04/20/21, 224.78, 225.38, 221.82, 223.28, 5799134
04/19/21, 225.75, 227.58, 225.08, 225.79, 6541636
04/16/21, 227.17, 227.80, 225.76, 226.41, 6829350
04/15/21, 223.89, 227.6257, 223.855, 226.28, 8698106
04/14/21, 221.00, 223.10, 220.07, 221.98, 4972551
04/13/21, 221.00, 221.615, 220.22, 221.02, 4764036
04/12/21, 220.24, 221.91, 219.22, 221.47, 6315207
04/09/21, 221.00, 222.60, 219.51, 222.52, 5724939
04/08/21, 219.97, 222.82, 218.11, 220.70, 11041980
04/07/21, 219.12, 221.04, 218.64, 219.27, 5614322
04/06/21, 217.62, 219.40, 215.34, 218.65, 7828103
04/05/21, 218.60, 220.51, 217.3088, 219.04, 10440480
04/01/21, 213.784, 217.74, 212.30, 216.86, 6138428
03/31/21, 212.55, 214.11, 211.545, 211.73, 13179960
03/30/21, 213.01, 214.15, 211.41, 211.90, 5497997
03/29/21, 212.45, 215.29, 211.12, 214.51, 7792260
03/26/21, 208.25, 213.70, 207.70, 213.53, 7399940
03/25/21, 207.67, 208.82, 205.78, 207.97, 8390834
03/24/21, 208.75, 211.14, 207.93, 208.07, 10101640
03/23/21, 209.05, 209.96, 207.50, 208.15, 8820746
03/22/21, 206.55, 212.29, 206.23, 208.00, 11371580
03/19/21, 219.12, 220.1689, 206.88, 206.90, 32209680
03/18/21, 221.43, 222.52, 219.58, 220.66, 9323007
03/17/21, 225.05, 226.24, 221.76, 223.02, 8675616
03/16/21, 223.71, 225.58, 222.295, 224.70, 8949319
03/15/21, 224.23, 227.085, 221.7407, 223.27, 9306996
03/12/21, 225.28, 226.54, 223.4201, 224.36, 8172396
03/11/21, 224.53, 228.2298, 223.81, 226.15, 10053420
03/10/21, 220.72, 224.185, 219.40, 223.17, 7822898
03/09/21, 222.06, 225.00, 220.19, 220.36, 9228559
03/08/21, 216.98, 226.13, 215.81, 220.27, 14750390
03/05/21, 213.73, 216.10, 209.63, 215.41, 7582002
03/04/21, 215.97, 217.02, 208.67, 211.50, 10658900
03/03/21, 215.15, 217.19, 212.86, 214.85, 6484597
03/02/21, 216.96, 217.93, 214.82, 215.77, 6155184
03/01/21, 214.97, 217.80, 214.79, 216.63, 6982504
02/26/21, 214.05, 215.21, 210.74, 212.39, 11730000
02/25/21, 219.29, 220.445, 212.58, 213.75, 11404330
02/24/21, 212.36, 220.53, 211.2888, 219.43, 12038950
02/23/21, 207.40, 213.91, 206.55, 212.11, 10571720
02/22/21, 203.55, 210.65, 203.11, 208.32, 8337693
02/19/21, 209.34, 209.53, 203.76, 204.73, 15011520
02/18/21, 205.88, 209.70, 204.96, 209.35, 7329287
02/17/21, 205.26, 208.28, 205.0627, 207.51, 8375014
02/16/21, 210.66, 211.05, 207.35, 207.90, 9652749
02/12/21, 209.36, 211.13, 207.68, 209.96, 6911014
02/11/21, 207.33, 211.59, 207.19, 210.66, 8411071
02/10/21, 207.97, 207.97, 205.94, 206.44, 8467602
02/09/21, 205.76, 207.63, 203.70, 206.52, 7619438
02/08/21, 210.00, 210.65, 205.91, 206.89, 8637076
02/05/21, 209.98, 210.13, 208.66, 208.77, 10283950
02/04/21, 203.24, 209.68, 203.10, 209.25, 14534750
02/03/21, 203.07, 203.51, 200.98, 201.36, 13458640
02/02/21, 200.85, 204.35, 200.00, 202.61, 11305050
02/01/21, 195.14, 199.21, 195.02, 198.36, 12970670
01/29/21, 197.82, 203.05, 192.81, 193.25, 21503039
01/28/21, 200.00, 202.00, 198.17, 198.22, 11041250
01/27/21, 197.64, 199.70, 193.96, 194.97, 13772440
01/26/21, 201.76, 203.49, 200.9701, 202.01, 9605270
01/25/21, 200.34, 201.64, 195.75, 200.98, 19282359
01/22/21, 203.99, 205.33, 201.80, 202.02, 7316201
01/21/21, 206.05, 207.1727, 204.75, 205.14, 6517948
01/20/21, 203.03, 207.19, 202.23, 206.01, 12675730
01/19/21, 203.05, 204.165, 200.07, 201.66, 9772034
01/15/21, 201.54, 203.26, 200.425, 201.59, 8755049
01/14/21, 210.57, 211.21, 201.73, 201.86, 12887480
01/13/21, 209.41, 211.00, 208.63, 209.35, 6688464
01/12/21, 212.34, 212.79, 207.47, 208.86, 9331611
01/11/21, 213.96, 214.86, 212.48, 212.89, 7354527
01/08/21, 214.17, 216.12, 212.75, 215.45, 6513279
01/07/21, 212.20, 215.22, 212.20, 213.81, 10967870
01/06/21, 213.80, 216.17, 212.07, 212.62, 7206248
01/05/21, 216.31, 218.46, 213.64, 214.51, 6869718
01/04/21, 220.25, 220.25, 214.24, 217.76, 10318330
12/31/20, 218.40, 219.82, 216.20, 218.73, 5922170
12/30/20, 216.00, 220.39, 215.65, 218.36, 8875066
12/29/20, 214.61, 215.24, 213.54, 214.37, 6093412
12/28/20, 209.85, 213.46, 208.95, 212.63, 5816208
12/24/20, 206.64, 208.816, 206.60, 208.70, 3367895
12/23/20, 207.33, 207.33, 205.11, 205.30, 6523085
12/22/20, 208.39, 208.40, 205.60, 205.84, 7403829
12/21/20, 208.27, 209.80, 204.79, 209.01, 7576684
12/18/20, 211.02, 211.98, 209.87, 211.31, 13298240
12/17/20, 209.00, 211.78, 208.85, 211.18, 6517228
12/16/20, 208.48, 209.125, 207.14, 208.27, 7504356
12/15/20, 208.54, 209.44, 206.16, 208.36, 9799032
12/14/20, 207.85, 211.30, 206.97, 207.25, 11967700
12/11/20, 205.36, 206.89, 204.50, 206.24, 9227638
12/10/20, 208.51, 209.30, 207.25, 207.61, 10492040
12/09/20, 213.23, 213.50, 208.95, 209.58, 6251066
12/08/20, 209.95, 213.13, 209.89, 212.77, 8646231
12/07/20, 211.97, 214.50, 211.7981, 212.65, 10624500
12/04/20, 209.74, 212.72, 208.51, 212.68, 5720129
12/03/20, 209.78, 211.113, 207.61, 208.05, 9203327
12/02/20, 211.00, 211.40, 208.48, 210.18, 9728898
12/01/20, 212.13, 213.67, 211.04, 211.20, 8049443
11/30/20, 209.54, 210.54, 206.60, 210.35, 7725515
11/27/20, 212.00, 212.03, 208.81, 211.00, 3512893
11/25/20, 209.67, 211.95, 208.87, 210.89, 6772894
11/24/20, 210.85, 213.82, 209.40, 209.68, 10112750
11/23/20, 204.70, 209.00, 204.70, 208.16, 6107265
11/20/20, 207.13, 208.11, 203.805, 203.88, 9654712
11/19/20, 207.24, 208.73, 205.53, 207.57, 5657248
11/18/20, 209.72, 211.15, 207.67, 207.83, 6977923
11/17/20, 210.56, 212.09, 209.50, 210.71, 7268825
11/16/20, 214.57, 215.09, 211.83, 212.70, 12083210
11/13/20, 209.91, 211.28, 207.30, 210.48, 6378517
11/12/20, 211.43, 212.54, 207.14, 208.26, 7303816
11/11/20, 212.17, 214.28, 211.67, 212.70, 5331383
11/10/20, 211.94, 214.06, 210.545, 213.31, 7943557
11/09/20, 214.69, 217.65, 212.28, 212.68, 17916900
11/06/20, 197.35, 199.68, 195.4265, 198.47, 6180509
11/05/20, 198.36, 200.99, 197.29, 197.64, 7132143
11/04/20, 192.89, 196.88, 191.53, 193.97, 8102656
11/03/20, 186.83, 189.53, 185.16, 188.34, 6467857
11/02/20, 184.51, 186.92, 183.89, 184.74, 8057085
10/30/20, 182.66, 184.22, 179.23, 181.71, 10256300
10/29/20, 183.00, 187.00, 179.34, 184.87, 16820869
10/28/20, 183.98, 184.70, 179.34, 180.87, 17809449
10/27/20, 193.00, 193.70, 189.22, 190.06, 8690350
10/26/20, 196.00, 196.42, 190.72, 193.07, 12608690
10/23/20, 199.75, 199.88, 196.02, 198.01, 5877238
10/22/20, 199.34, 199.7665, 195.76, 197.99, 4911939
10/21/20, 197.83, 200.42, 197.83, 198.43, 6067207
10/20/20, 197.55, 199.66, 196.71, 197.70, 7429822
10/19/20, 200.85, 201.07, 196.50, 196.97, 7449606
10/16/20, 199.99, 202.65, 199.41, 200.26, 6387996
10/15/20, 201.01, 204.70, 197.60, 199.55, 8887367
10/14/20, 204.71, 204.9699, 201.13, 202.20, 5321915
10/13/20, 203.38, 205.21, 203.03, 204.32, 5621674
10/12/20, 206.94, 207.97, 205.73, 206.40, 6622714
10/09/20, 204.00, 207.08, 203.675, 206.64, 5562948
10/08/20, 204.00, 204.30, 202.23, 202.98, 3955634
10/07/20, 202.00, 202.79, 199.99, 202.47, 6713433
10/06/20, 204.11, 205.10, 199.71, 200.45, 5841141
10/05/20, 202.71, 203.65, 201.05, 203.54, 6090528
10/02/20, 200.00, 202.83, 199.40, 201.46, 6019734
10/01/20, 202.21, 205.195, 201.6357, 203.35, 7234628
09/30/20, 200.85, 202.54, 198.89, 199.97, 9157591
09/29/20, 200.58, 202.38, 199.37, 199.44, 5559814
09/28/20, 200.63, 201.72, 199.83, 200.32, 5565280
09/25/20, 195.02, 198.14, 193.51, 197.25, 5496052
09/24/20, 195.15, 197.67, 193.13, 195.52, 9865265
09/23/20, 200.80, 201.09, 194.57, 195.37, 6310558
09/22/20, 198.09, 200.71, 196.80, 200.56, 7543137
09/21/20, 199.91, 201.25, 194.70, 197.45, 9656041
09/18/20, 205.47, 205.72, 201.72, 202.61, 9084141
09/17/20, 202.85, 205.58, 202.00, 205.27, 7474944
09/16/20, 206.74, 207.745, 204.95, 205.13, 6135541
09/15/20, 206.75, 208.21, 204.77, 205.39, 6328575
09/14/20, 203.35, 206.41, 203.14, 204.98, 11730450
09/11/20, 201.58, 202.41, 198.91, 200.68, 7439317
09/10/20, 204.86, 207.00, 200.45, 201.54, 7242970
09/09/20, 204.35, 206.29, 201.9462, 204.06, 7532626
09/08/20, 200.78, 202.25, 199.214, 200.12, 14186880
09/04/20, 208.49, 210.50, 200.15, 204.66, 13243600
09/03/20, 214.93, 214.93, 207.09, 208.96, 11310190
09/02/20, 214.13, 217.35, 213.77, 216.48, 9863801
09/01/20, 212.21, 213.89, 211.12, 213.35, 5648766
08/31/20, 215.54, 215.96, 211.56, 211.99, 9326852
08/28/20, 212.00, 216.16, 211.22, 215.71, 7349837
08/27/20, 211.21, 212.18, 209.05, 211.03, 8619578
